"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x225578547","x1104201663848607744",2019-03-09 02:06:06,"ProfessorZoom_","@forever_aclone *Eobard's eyes widen as Rory crawled onto his lap, reaching up for his nose. The child examined the Elder's face, smacking him a few times before holding out the Captain Cold toy to Eobard.*

....He's quite strong...","TweetCaster for Android",216,"x1104199953327501313","x28648473","forever_aclone",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x28648473","forever_aclone","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ProfessorZoom_/status/1104201663848607744","Eobard Thawne","Keystone City","Fastest Speedster Alive. Back in Keystone.  (Mature RP 18+)",,FALSE,1349,938,9,10883,282,2010-12-11 23:02:51,FALSE,,,"en","https://pbs.twimg.com/profile_banners/225578547/1356968525","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1103086502513389568/6rBrfJZS_normal.jpg"
"x710749860","x1104199912244146176",2019-03-09 01:59:08,"sportyginger","Glad @WhoopiGoldberg has recovered after her bout with #Pneumonia &amp; #Sepsis. 

Would have been a great opportunity to promote prevention through #Vaccination. Get the #Prevnar-13 #Prenar-23 #Influenza #Shingles vaccines @ age 50 or over to avoid PNA &amp; complications!🤗","Twitter for iPhone",275,,,,FALSE,FALSE,1,1,"Pneumonia Sepsis Vaccination Prevnar Prenar Influenza Shingles",,,,,,,,,,,,,"x284602545","WhoopiGoldberg","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/sportyginger/status/1104199912244146176","(((TheZeteticRN)))","usa","Critical Care travel CCRN.These are my opinions & not my employer. ""Doing small things with great ❤️.  It’s Complicated. #ISTJ #TeamVest",,FALSE,479,569,34,24416,56652,2012-07-22 14:13:29,FALSE,,,"en","https://pbs.twimg.com/profile_banners/710749860/1508103751","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1079982455812087808/mnYr8wLT_normal.jpg"
"x474639030","x1104198917581914112",2019-03-09 01:55:11,"Shelbycorless","Okay I can’t with this man. I WAS HOSPITALIZED for pneumonia last week and I still worked and cooked. Mf’er has A COLD and he’s “dying”. 🤣🙄 https://t.co/vYnZLVW22S","Twitter for iPhone",139,,,,FALSE,FALSE,0,0,,,,,,"http://pbs.twimg.com/media/D1LnDXcW0AAQ_6q.jpg","https://t.co/vYnZLVW22S","https://twitter.com/Shelbycorless/status/1104198917581914112/photo/1","photo","http://pbs.twimg.com/media/D1LnDXcW0AAQ_6q.jpg","https://t.co/vYnZLVW22S","https://twitter.com/Shelbycorless/status/1104198917581914112/photo/1",,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/018c08f10cb64cca.json","Oakland","Oakland, MI","city","United States","US","NA NA","NA NA","-83.2154 -83.0960305 -83.0960305 -83.2154 42.709541 42.709541 42.767232 42.767232","https://twitter.com/Shelbycorless/status/1104198917581914112","Shelby Corless","Michigan, USA","have courage & be kind 💝",,FALSE,264,527,2,15142,10657,2012-01-26 06:01:05,FALSE,,,"en","https://pbs.twimg.com/profile_banners/474639030/1549766241","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1094425048205660160/VZNLxH9D_normal.jpg"
"x316130809","x1104193283746660353",2019-03-09 01:32:48,"Tae_hef","Told her my Heart cold, it got my nose running 🤒","Twitter for iPhone",48,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Tae_hef/status/1104193283746660353","Tae ☔️","Detroit, MI","Instagram @Tae_hef | Blessed 🙏🏽 | SC 👻: tae_hef | Michigan State University ALUM 🎓📚",,FALSE,3151,3144,61,85071,5698,2011-06-13 00:19:23,FALSE,,,"en","https://pbs.twimg.com/profile_banners/316130809/1473953444","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1085579847676628992/5GE8Pm3h_normal.jpg"
"x1082186566196387840","x1104192748767207425",2019-03-09 01:30:40,"stephanieeoxxo","Don’t know why my apartment is so cold rn. Like my nose and feet feel so cold 🥶","Twitter for iPhone",79,,,,FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/stephanieeoxxo/status/1104192748767207425","Stephanie 🌻","California, USA","• No where to go but everywhere • | 💫",,FALSE,46,72,0,192,283,2019-01-07 08:05:58,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1082186566196387840/1546849746",,"http://pbs.twimg.com/profile_images/1100888890708127744/IprXRr-j_normal.jpg"
"x1052767658414931968","x1104192098084012034",2019-03-09 01:28:05,"journeyprokc","Man it was so cold out there.

Meanwhile, inside, this was the night Becky Lynch got her nose broken and became a megastar. https://t.co/ysA4lIsEtK","Twitter for Android",123,,,,TRUE,FALSE,3,1,,,"twitter.com/McDreaBean/sta…","https://t.co/ysA4lIsEtK","https://twitter.com/McDreaBean/status/1104190196340477957",,,,,,,,,,,"en","x1104190196340477957","@TT_4You @KeifTheChief12 Honestly?
This was the start of something special.
#KCWrasslin https://t.co/XbAbgZzxuQ",2019-03-09 01:20:32,"Twitter for Android",4,0,"x4825604960","McDreaBean","McDrea Loves You 🌈",844,848,45489,"Kansas City, KS","Come hang out with #KCWrasslin 

https://t.co/5WJyiauABb…

https://t.co/OATk1dPEBj

She/Her/Hers

(@DreaYellsThings for non-wrassle content)",FALSE,,,,,,,,,,,,,,,,"https://api.twitter.com/1.1/geo/id/27c45d804c777999.json","Kansas","Kansas, USA","admin","United States","US","NA NA","NA NA","-102.051769 -94.588081 -94.588081 -102.051769 36.9931101 36.9931101 40.003282 40.003282","https://twitter.com/journeyprokc/status/1104192098084012034","Journey Pro","Kansas City, MO","Professional wrestling shows / bitchin van decals / peace, love, and community. Do you like the skyline? We got it from the INTERNET https://t.co/HNa11dNkON",,FALSE,636,400,2,781,1747,2018-10-18 03:45:44,FALSE,,,"en","https://pbs.twimg.com/profile_banners/1052767658414931968/1550947072","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1052769614667501569/APPWh1UD_normal.jpg"
"x93129729","x1104192083190054912",2019-03-09 01:28:02,"Brittonnnnn","My throat hurts and my nose is so stuffy... I do love a cold.","Twitter for iPhone",61,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Brittonnnnn/status/1104192083190054912","Brittney Munz","Macomb Township, MI","💛💛💛",,FALSE,210,510,0,11463,10195,2009-11-28 05:59:47,FALSE,,,"en","https://pbs.twimg.com/profile_banners/93129729/1511722452","http://abs.twimg.com/images/themes/theme17/bg.gif","http://pbs.twimg.com/profile_images/987417963589496832/e-Og6dK7_normal.jpg"
"x2367925518","x1104189415298162689",2019-03-09 01:17:26,"TNtales","Grandson is asleep on the couch with pneumonia. I'm in bed with bronchitis/flu/hopefully not pneumonia. I gave him a bell to ring if he needs me. 🔔","Twitter for Android",147,,,,FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/TNtales/status/1104189415298162689","Christine 🌼🌼🌼","Tennessee, USA","",,FALSE,1137,1147,15,10597,142454,2014-03-02 01:17:41,FALSE,,,"en","https://pbs.twimg.com/profile_banners/2367925518/1544572775","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1072641978993659904/y2ns7-rh_normal.jpg"
"x819147534094340096","x1104187858682671106",2019-03-09 01:11:14,"OranTkatchov","Flu, sepsis, pneumonia during pregnancy increase #autism risk https://t.co/hQqJ06RMi3 via @upi","Twitter Web Client",94,,,,FALSE,FALSE,1,0,"autism",,"upi.com/6885379t","https://t.co/hQqJ06RMi3","https://upi.com/6885379t",,,,,,,,,"x16666806","UPI","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OranTkatchov/status/1104187858682671106","Oran Tkatchov","Arizona, USA","Educator, author, husband and dad.  Proud supporter of high expectations for all students.","https://t.co/uNEMbWf64k",FALSE,1522,1625,14,6180,16335,2017-01-11 11:42:45,FALSE,"https://t.co/uNEMbWf64k","http://www.trueperformancelearning.com/","en","https://pbs.twimg.com/profile_banners/819147534094340096/1492688628","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/913079169818419200/5JjfdQ8H_normal.jpg"
"x97089436","x1104187018806988806",2019-03-09 01:07:54,"DeborahlynnPR","I got drip everyday like a runny nose.","Twitter for iPhone",38,,,,FALSE,FALSE,0,1,,,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/DeborahlynnPR/status/1104187018806988806","Deborah Lynn","Philadelphia, PA","Publicist, Brand management deborahlynnpr@gmail.com","https://t.co/tZvC0taINy",FALSE,2244,946,32,101141,1207,2009-12-15 23:49:27,FALSE,"https://t.co/tZvC0taINy","http://abigailmarynn.com","en","https://pbs.twimg.com/profile_banners/97089436/1514838081","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/988961587154313217/m7Ck96sN_normal.jpg"
