last|year,450
year|old,307
last|season,194
year|ago,155
first|time,131
first|round,121
last|week,112
last|month,100
year|million,87
said|would,74
year|later,62
said|statement,60
said|think,55
said|ad,55
player|like,50
last|summer,50
one|year,47
one|day,43
first|two,41
time|since,40
first|major,40
play|game,39
said|last,38
player|said,38
team|play,37
play|well,37
game|last,37
first|base,37
play|first,36
year|year,35
first|year,35
time|said,34
said|know,33
one|two,33
first|place,33
player|world,32
one|thing,32
one|game,32
first|game,32
year|since,31
team|season,31
said|want,31
first|set,31
said|mr,30
said|interview,30
last|two,30
game|play,29
year|deal,28
said|like,28
player|year,28
